dates,ID,content,rt,like
2022-08-13,John Legere@JohnLegere,More subscription services are looking like online cable. What do you think about Netflix and Disney+ adding advertising?,7,40
2022-08-14,John Legere@JohnLegere,Hate assembling IKEA furniture? Robots are on the way!,4,48
2022-08-14,John Legere@JohnLegere,Looks like we have some “rocky” skies this weekend. Who’s keeping an eye out for these asteroids??,7,26
2022-08-14,John Legere@JohnLegere,"Hi all, it’s come to my attention there are accounts impersonating me and my team. Official #JohnClearMyList winners will be announced on my verified accounts ONLY. Please assist by reporting any other accounts acting on my behalf.",48,322
2022-08-14,John Legere@JohnLegere,"Hi @ArochoMarisol, thank you for sending your list for #JohnClearMyList! Please know that winners are only being contacted through my verified personal account.",1,30
2022-08-14,John Legere@JohnLegere,Hey @ThomasaniaC - thank you for sending your list for #JohnClearMyList! Please know that winners are only being contacted through my verified personal account.,1,22
2022-08-14,John Legere@JohnLegere,Hi @TeacherAnderson - thank you for sending your list for #JohnClearMyList! Please know that winners are only being contacted through my verified personal account.,3,27
2022-08-14,John Legere@JohnLegere,Now that’s a new way to have spaghetti. What are some unique recipes you have?,5,36
2022-08-20,John Legere@JohnLegere,New York’s harbors are the cleanest they’ve been in 100 years! Who’s down for whale watching?,9,85
2022-08-21,John Legere@JohnLegere,From streaming to social media and now ride shares? Ads are back and they’re everywhere. Don’t be surprised on your next @Uber or @lyft ride.,2,12
2022-08-21,John Legere@JohnLegere,"Went for a 2 hour run today and every 15 minutes , I looked behind me and this ambulance was there… I didn’t think I looked that bad :))) #LongRun #StopFollowingMe #imStillMoving",6,217
2022-08-21,John Legere@JohnLegere,Be sure you’re taking a day of rest! Even if your @apple watch doesn’t tell you to!,5,31
2022-08-21,John Legere@JohnLegere,"HBO is going back to Westeros! After the controversial finale of “Game of Thrones,” who’s watching their new show?",7,61
2022-08-22,John Legere@JohnLegere,We lost a golfing legend this weekend. My heart goes out to the Weiskopf family.,4,22
2022-08-22,John Legere@JohnLegere,"Wishing the best to these amazing teachers in Columbus, Ohio who are striking for better working conditions. @ColumbusEA
https://cnn.com/2022/08/22/us/ohio-school-district-strike/index.html…",8,75
2022-08-22,John Legere@JohnLegere,"Week 4 of #JohnClearMyList is here! @MariahSergio1, Middle School English Teacher in Jay, Maine, and @MsP_WV, Reading & Math Specialist in Dunlow, West Virginia, I’m ecstatic to be clearing your lists!",9,190
2022-08-22,John Legere@JohnLegere,"The cuts at HBO Max continue as Discovery+ takes control, this time on Sesame Street. Sad to see this classic purged from the platform?",9,40
2022-08-23,John Legere@JohnLegere,"As the pause on student loan payments reaches its deadline, borrowers are anxiously awaiting the final forgiveness decision from the administration.
https://cnn.com/2022/08/22/politics/student-loan-white-house/index.html…",7,31
2022-08-23,John Legere@JohnLegere,"It’s time for the next set of lists to be cleared for #JohnClearMyList!! @MrsChristmanFV, 1st Grade Teacher in Fogelsville, PA and @ValerieSalter5, 5th Grade Teacher in Port Allen, LA. Congratulations - I’m clearing your lists!",10,216
2022-08-23,John Legere@JohnLegere,Ever wondered what sound a black hole makes? Now we know! Creepy or fascinating?,7,37
2022-08-29,John Legere@JohnLegere,Anybody watch the 2022 MTV Video Music Awards? I think I need some new music for my running playlist. Let me know your favorite songs below! #MusicMonday,4,22
2022-08-29,John Legere@JohnLegere,"Another platform is the victim of a data breach exposing private customer information. Are you an avid @DoorDash user? Beware!
https://mashable.com/article/doordash-hack-customer-details-exposed…",9,20
2022-08-30,John Legere@JohnLegere,Life is gourd! Pumpkin Spice season has begun at @Starbucks! Who’s ready for their first taste of fall?,8,44
2022-08-30,John Legere@JohnLegere,Wow I can’t believe this #UMASS college #runningshirt still fits… oh that’s right I got it last year … oh well it still fits :),1,62
2022-08-30,John Legere@JohnLegere,"Would you consider relocating to another country due to U.S. gun violence? 
https://cnn.com/2022/08/29/entertainment/ozzy-osbourne-leaving-us-gun-violence-cec/index.html…",9,113
2022-08-30,John Legere@JohnLegere,"We’re witnessing history this week as @SerenaWillams plays her last US Open…with a very special little fan in the crowd. Are you watching?
https://cnn.com/2022/08/29/tennis/serena-williams-us-open-first-round-spt-intl/index.html…",6,65
2022-08-31,John Legere@JohnLegere,"The day has come, everyone! It’s the last day of August and it’s time for the #JohnClearMyList Grand Finale! Follow me on Instagram, Facebook, and Twitter to see the final 10 school supply lists to be cleared throughout the day!",49,257
