dates,ID,content,rt,like
2024-01-05,Elon Musk@elonmusk,A few other products coming too,3.4K,26K
2024-01-05,Elon Musk@elonmusk,Interesting. 𝕏 will add them as defendants in the lawsuit.,24K,113K
2024-01-06,Elon Musk@elonmusk,My son lil X loves clinging precariously to my back & yelling “monkey rides!” ,24K,478K
2024-01-06,Elon Musk@elonmusk, What is love? ,20K,186K
2024-01-06,Elon Musk@elonmusk,Accurate analysis,12K,75K
2024-01-06,Elon Musk@elonmusk,"The US construction industry can increase available housing by 1% to 2% per year. 

But the US population is only 330M out of 8B. 

So if just ~4% of Earth moves here, housing would need to double, which is impossible, causing a massive homeless problem and house prices to be…",28K,145K
2024-01-07,Elon Musk@elonmusk,Insane,51K,202K
2024-01-07,Elon Musk@elonmusk,To be expected. They will stop at nothing to destroy 𝕏.,19K,124K
2024-01-08,Elon Musk@elonmusk,lol,14K,125K
2024-01-08,Elon Musk@elonmusk,TMZ has vastly higher standards than the WSJ (actually),7.7K,83K
2024-01-08,Elon Musk@elonmusk,“Fact-checkers”,9.7K,47K
2024-01-08,Elon Musk@elonmusk,That is the key question,14K,83K
2024-01-09,Elon Musk@elonmusk,Is this legal?,30K,126K
2024-01-09,Elon Musk@elonmusk,"This is what happens when you run out of hotel rooms. Soon, cities will run out of schools to vacate. Then they will come for your homes.",84K,293K
2024-01-09,Elon Musk@elonmusk,"They’ve run out of hotel rooms, are kicking kids out of school for illegal housing and now they want your homes too",55K,209K
2024-01-10,Elon Musk@elonmusk,Shifting power back to the people means taking it away from the political class and their puppets in the press,33K,164K
2024-01-10,Elon Musk@elonmusk,"Extremely concerning, given that the recent massive influx of illegal immigrants exceeds babies born in the United States",16K,77K
2024-01-10,Elon Musk@elonmusk,True,9.6K,63K
2024-01-10,Elon Musk@elonmusk,Do you want to fly in an airplane where they prioritized DEI hiring over your safety? That is actually happening.,44K,167K
2024-01-10,Elon Musk@elonmusk,"There will be many mistakes, but we will aim to correct them fast",3K,23K
2024-01-11,Elon Musk@elonmusk,The first Starlink direct from satellite to mobile phone text messages are working!,7.4K,53K
2024-01-11,Elon Musk@elonmusk,Cis is a heterophobic word. Shame on anyone who uses it.,59K,396K
2024-01-13,Elon Musk@elonmusk,"Earth already receives about the same energy from the Sun in an hour than humanity consumes in a year.

Solar panels just need to catch a tiny amount of it to power our entire civilization!",26K,164K
2024-01-14,Elon Musk@elonmusk,Went to a monster truck rally in Austin!,8K,131K
2024-01-14,Elon Musk@elonmusk,22 more Starlink 2nd generation satellites to orbit,13K,103K
2024-01-14,Elon Musk@elonmusk,Try it!,3K,23K
2024-01-14,Elon Musk@elonmusk,Set new world record in Diablo AoZ last night with an excellent crew. My character is called DieHarder.,3.1K,24K
2024-01-15,Elon Musk@elonmusk,Just had a conversation with some smart people could not believe this is happening,31K,125K
2024-01-15,Elon Musk@elonmusk,Destroying freedom of speech means destroying democracy,50K,175K
2024-01-15,Elon Musk@elonmusk,Discrimination on the basis of anything other than merit is wrong,46K,224K
2024-01-15,Elon Musk@elonmusk,To fear parody or criticism is a sign of weakness,31K,208K
2024-01-15,Elon Musk@elonmusk,Optimus folds a shirt,48K,274K
2024-01-25,Elon Musk@elonmusk,Discussion with Democratic presidential candidate @deanbphillips in 2 hours,2.1K,14K
2024-01-25,Elon Musk@elonmusk,Interview with @BenShapiro,16K,89K
2024-01-25,Elon Musk@elonmusk,It will be,16K,104K
2024-01-25,Elon Musk@elonmusk,And he did,23K,280K
2024-01-25,Elon Musk@elonmusk,This is my concern re Tesla voting control. Money doesn’t matter if powerful technology goes awry.,6.2K,35K
2024-01-26,Elon Musk@elonmusk,Worth it,4.5K,26K
2024-01-26,Elon Musk@elonmusk,Extremely concerning,23K,106K
2024-01-27,Elon Musk@elonmusk,xAI is not raising capital and I have had no conversations with anyone in this regard,11K,69K
2024-01-28,Elon Musk@elonmusk,That is undeniable at this point,82K,361K
2024-01-28,Elon Musk@elonmusk,"“Colon Cologne, the fragrance that takes you beyond Uranus!” – Grok",7K,63K
2024-02-01,Elon Musk@elonmusk,Inner demons can be helpful,49K,472K
2024-02-01,Elon Musk@elonmusk,420M mobile search results ,9.3K,66K
2024-02-01,Elon Musk@elonmusk,The craziness continues!,22K,97K
2024-02-01,Elon Musk@elonmusk,It is hard to visualize the consequences of bad lawmakers until you see the victims,31K,133K
2024-02-01,Elon Musk@elonmusk,This could have been your family. It was someone’s family.,14K,88K
2024-02-01,Elon Musk@elonmusk,"Not only were they not deported, they were given a free ticket to California!
https://x.com/CollinRugg/status/1753186988289937472?s=20…",18K,80K
2024-02-02,Elon Musk@elonmusk,Worth reading,29K,109K
2024-02-02,Elon Musk@elonmusk,"When you hear the names of legislation or anything done by the government, it is worth remembering that the group that sent so many people to the guillotine during the French Revolution was called “The Committee of Public Safety”, not the “Cut Off Their Heads Committee”…",57K,242K
2024-02-02,Elon Musk@elonmusk,Dr. Drew gets it,16K,76K
2024-02-02,Elon Musk@elonmusk,Review of new Model 3 by @MKBHD,3.7K,36K
2024-02-06,Elon Musk@elonmusk,Wow,28K,112K
2024-02-07,Elon Musk@elonmusk,Strange Dayz,43K,254K
2024-02-07,Elon Musk@elonmusk,"If evil people are given a moral cloak that cannot be questioned, they are certain to wear it.

This is not to say that all transgender people are bad – that would be false – but rather that they should be no more above questioning than anyone else.",21K,97K
2024-02-07,Elon Musk@elonmusk,"An anonymous source just sent me this from Disney. It is mandatory, institutionalized racism and sexism!",59K,225K
2024-02-07,Elon Musk@elonmusk,"If you were discriminated against by Disney or its subsidiaries (ABC, ESPN, Marvel, etc), just reply to this post to receive legal support",39K,159K
2024-02-07,Elon Musk@elonmusk,Another show coming to 𝕏!,9.8K,76K
2024-02-11,Elon Musk@elonmusk,Shocker …,38K,131K
2024-02-12,Elon Musk@elonmusk,Insane,7.3K,43K
2024-02-12,Elon Musk@elonmusk,𝕏 is now the #1 most downloaded app of any kind!,14K,146K
2024-02-12,Elon Musk@elonmusk,"Live by the  , die by the ",5.5K,30K
2024-02-12,Elon Musk@elonmusk,Amazon is also killing creativity with draconian DEI restrictions on content,10K,47K
2024-02-12,Elon Musk@elonmusk,But then I started thinking about Mars,45K,746K
2024-02-13,Elon Musk@elonmusk,Major platform growth!,9.5K,101K
