dates,ID,content,rt,like
2022-03-11,Tim Cook@tim_cook,"As a proud member of the LGBTQ+ community, I am deeply concerned about laws being enacted across the country, particularly those focused on our vulnerable youth. I stand with them and the families, loved ones, and allies who support them.",2.9K,26K
2022-03-12,Tim Cook@tim_cook,".@Malala’s episode of Time to Walk on Fitness+ is an inspiring journey for us all and an important reminder of the power of education. As she says, “The work for education is always needed, but in this moment it is needed more than ever.”  https://fitness.apple.com/us/workout/time-to-walk-with-malala-yousafzai/1610013030…",271,2.4K
2022-03-12,Tim Cook@tim_cook,"As the east coast of Australia contends with the impact of historic flooding on a devastating scale, our hearts go out to everyone affected and Apple will be donating to relief efforts.",418,6K
2022-03-12,Tim Cook@tim_cook,Celebrating incredible writer/director @sianheder and the amazingly talented @marleematlin as #CODAFilm was honored at #AFIAwards. #WomensHistoryMonth,249,3.7K
2022-03-16,Tim Cook@tim_cook,Our Impact Accelerator creates opportunities for US companies that are advancing environmental innovation in communities across the country. We’re looking forward to welcoming even more to the next class starting soon.,138,1.4K
2022-03-18,Tim Cook@tim_cook,Wishing everyone celebrating Holi a vibrant beginning to spring. Here’s to spreading the joy of color with these beautiful images #ShotOniPhone13ProMax by @coffeekarma and @rohit_apf.,765,8.4K
2022-03-23,Tim Cook@tim_cook,Great morning at Apple Carnegie Library! Thanks to @MarleeMatlin and the incredible cast of #CODAFilm for stopping by and chatting with the team.,117,1.4K
2022-03-24,Tim Cook@tim_cook,"Today we introduced driver’s license and state ID in Wallet for the first time. Now available for Arizona residents, we’re looking forward to bringing this easy, private, and secure feature to more states soon.",965,6K
2022-05-13,Tim Cook@tim_cook,"Thank you to @GallaudetU for having me today! I was awed by the spirit of community and so grateful to be able to celebrate with all of you in person. Lead with your values, and lead you will. Great things are in store for the class of 2022!",206,2.2K
2022-05-14,Tim Cook@tim_cook,We’re honored to have so many members of the Gallaudet community as part of our Apple family. Thank you for everything you do for our customers — and for each other.,214,2.9K
2022-05-17,Tim Cook@tim_cook,"At Apple, we design for accessibility from the ground up and we’re constantly innovating on behalf of our users. The cutting-edge features we are sharing today will offer new ways for people with disabilities to navigate, connect, and so much more.",707,4.5K
2022-05-18,Tim Cook@tim_cook,Privacy is a fundamental right and we build it into all our products and services at Apple. You should be in control of your data — not the highest bidder.,738,5.2K
2022-05-19,Tim Cook@tim_cook,"Prehistoric Planet came roaring to life at a dino-mite Today at Apple session! We connected dinosaur fans with producers @Jon_Favreau, @MikeGunton, and Tim Walker to learn how they brought new life to these incredible creatures. Catch the premiere on May 23rd!",262,2.3K
2022-05-19,Tim Cook@tim_cook,"We think deeply about how our products can enrich rather than restrict and connect rather than isolate. Our technology is built intentionally by listening and developing new paths to an accessible, inclusive future for all. #GAAD",364,3.7K
2022-05-24,Tim Cook@tim_cook,This year’s Apple Watch Pride Edition bands once again celebrate the great diversity of LGBTQ+ people around the world. We’re proud to continue supporting nonprofits doing tremendous work to advance equality and justice. We are stronger together!,351,2.4K
2022-05-30,Tim Cook@tim_cook,Their memory will not be forgotten. Their legacy is all around us. Thank you to the fallen heroes and their families whose sacrifice forms the bedrock of our society. ,341,4.4K
2022-06-01,Tim Cook@tim_cook,"Glad to hear it, Marc! We need you healthy for what looks like an incredible series.",161,2.4K
2022-06-03,Tim Cook@tim_cook,"From teaching the basics of CPR to helping gardeners thrive, I’m so impressed by the app projects our WWDC Swift Student Challenge winners’ conceived of and coded. Congratulations to everyone involved. I can’t wait to see what you do next!",176,1.4K
2022-06-03,Tim Cook@tim_cook,"We’ve long needed comprehensive federal privacy legislation and I’m pleased to see the growing momentum behind it. At Apple, we believe privacy is a fundamental human right, and we will keep working to support the strongest privacy bill possible.",566,6K
2022-06-05,Tim Cook@tim_cook,"Earth’s resources are finite, but our opportunities to conserve them are limitless. We’re expanding our carbon-neutral footprint to our whole supply chain and innovating constantly to leave the world better than we found it. #WorldEnvironmentDay",499,5.1K
2022-06-05,Tim Cook@tim_cook,"The talented student developers I met today are going places! They let their passion for coding and creative problem-solving shine through in areas as diverse as gardening, gaming, quantum physics, and more. Never stop innovating! #WWDC22",621,6.8K
2022-09-02,Tim Cook@tim_cook,"We're thinking of the people of Jackson, Mississippi who are struggling for that most basic of necessities this summer — clean water. Apple is donating to relief efforts on the ground aimed at distributing food and water immediately.",427,6.1K
2022-09-07,Tim Cook@tim_cook,Good morning! Looking forward to a stellar Apple event.,4.3K,40K
2022-09-07,Tim Cook@tim_cook,"It was a great day at Apple Park, introducing the world to products that are essential to our daily lives and that work seamlessly together. #AppleEvent",2.1K,19K
2022-09-08,Tim Cook@tim_cook,"Here’s all the big news from the Apple Event. Introducing iPhone 14 Pro, iPhone 14, Apple Watch Ultra, Apple Watch Series 8, and AirPods Pro.",2.3K,15K
2022-09-08,Tim Cook@tim_cook,Steve’s legacy lives on in the company we are and the products and services we create. The Steve Jobs Archive was created as a place to spark a sense of possibility in everyone.,1.7K,8.8K
2022-09-08,Tim Cook@tim_cook,There is nothing more noble than to devote your life to the service of others. We stand with the people of the UK and Commonwealth in honoring the life and dedication to duty of her Majesty Queen Elizabeth II. May she rest in peace.,3.8K,36K
2022-09-13,Tim Cook@tim_cook,"There must be magic on the pitch at @AFCRichmond because @TedLasso and the Diamond Dogs have done it again. Congratulations to the cast, crew, and all involved at @AppleTVPlus on your Emmy wins!",483,6.7K
2022-09-16,Tim Cook@tim_cook,So excited for our customers to experience the magic of our latest products. A day like today has been years in the making — thank you to everyone that’s made it possible!,1K,14K
2022-09-16,Tim Cook@tim_cook,"Great spending time with our teams and customers at Apple Fifth Avenue, Apple Upper West Side, and Apple Upper East Side. I  NY!",594,8.8K
2022-09-21,Tim Cook@tim_cook,"Our hearts are with all the people of Puerto Rico as they come together to rebuild once again. We will donate to assist with immediate relief and ongoing recovery efforts. To everyone still in the path of Hurricane Fiona, please stay safe.",413,4.8K
2022-09-23,Tim Cook@tim_cook,Sidney Poitier was an icon of cinema and a barrier-breaking civil rights leader — his documentary is a beautiful portrait of a life well-lived and an incomparable legacy.,155,1.3K
2022-10-18,Tim Cook@tim_cook,The possibilities are endless. #TakeNote,5.4K,29K
2022-10-18,Tim Cook@tim_cook,"We’re excited to introduce our most advanced iPad lineup yet! iPad has major updates, and M2 supercharges iPad Pro’s performance to help unleash your creativity and enhance productivity. Looking forward to seeing what our users will create!",1.3K,7.4K
2022-10-22,Tim Cook@tim_cook,Our engineering teams in Austin are hard at work on powerful next-generation silicon chips. Great to see them in action today!,1.7K,26K
2022-10-22,Tim Cook@tim_cook,It's been nearly 30 years since Apple opened its first office in Austin! Our new campus is a reflection of all the breakthroughs to come.,358,5.6K
2022-10-22,Tim Cook@tim_cook,Stopped by Apple Domain NORTHSIDE and Apple Barton Creek to spend time with the teams. Thanks for all you do for our customers!,398,5.6K
2022-10-24,Tim Cook@tim_cook,This photo beautifully captures why Diwali is known as the Festival of Lights. Wishing all who celebrate a holiday full of joy and prosperity. #ShotoniPhone by Apeksha Maker.,3.2K,46K
2022-10-25,Tim Cook@tim_cook,"Fighting climate change is one of Apple’s most urgent priorities. We set an ambitious goal to be carbon neutral across our supply chain by 2030, and we are committed to working with our suppliers to make that a reality.",360,2.8K
2022-10-26,Tim Cook@tim_cook,One of the many things I love about iPad is all the creativity it inspires and how much potential it unlocks. I can’t wait to see what people do with the next-generation iPad and iPad Pro — now available!,362,3.8K
2022-10-27,Tim Cook@tim_cook,Congratulations to the first graduating class of Swift Explorers Singapore! Students in the program learned the basics of coding and developed creative apps that solve issues they’re passionate about — from helping people care for their families to improving mental wellness.,272,3K
2022-11-08,Tim Cook@tim_cook,"For so many veterans, the fight continues long after their service because of the effects of PTSD. NightWare is helping veterans cope with one of the most pernicious symptoms of that condition — and it’s profound to see the impact it’s already having.",284,2K
2022-11-10,Tim Cook@tim_cook,Emergency SOS via satellite on iPhone 14 is supported by the breakthrough technology and ingenuity of American companies. You can explore further than ever while knowing that help is still within reach.,447,3.1K
2022-12-16,Tim Cook@tim_cook,Paralympians Daisuke Ikezaki and Shinichi Shimakawa are using Apple Watch to take their wheelchair rugby workouts to the next level. Thanks for letting me join your training session today!,394,4K
2022-12-16,Tim Cook@tim_cook,"Great to visit with the team at Inoue, a family-run business that’s been operating in Fukui for over 70 years. They are bringing together traditional craftsmanship with state-of-the-art manufacturing to weave stunning Apple Watch bands.",1.4K,10K
2022-12-16,Tim Cook@tim_cook,,3.7K,66K
2022-12-18,Tim Cook@tim_cook,One of the greatest games I’ve ever seen. Congratulations Argentina!,12K,163K
2022-12-18,Tim Cook@tim_cook,"Happy Hanukkah to all those celebrating! As you gather around the menorah with family and friends, I hope you enjoy the first of many nights filled with health and happiness. ",429,6.3K
2022-12-25,Tim Cook@tim_cook,"Today we celebrate the gift of friends and family, the hope for peace, and the joy that comes from being together. Merry Christmas!",1.6K,27K
2023-01-01,Tim Cook@tim_cook,"Happy New Year!  May 2023 be the year we find peace, the year we reconnect with our shared humanity, and the year we recommit ourselves to a brighter future.",2.5K,37K
