dates,ID,content,rt,like
2022-06-15,Elon Musk@elonmusk,Starship SN24 in the High Bay,9.7K,144K
2022-06-15,Elon Musk@elonmusk,Original Top Gun is a great movie. Just rewatched. Looking forward to seeing the sequel.,12K,238K
2022-06-15,Elon Musk@elonmusk,"I’m dressing as a sink on Halloween, as they will have no choice but to let me in",10K,157K
2022-06-17,Elon Musk@elonmusk,"Our best landing video to date, thanks to Starlink!",10K,125K
2022-06-18,Elon Musk@elonmusk,Is TikTok destroying civilization? Some people think so.,40K,404K
2022-06-18,Elon Musk@elonmusk,"Watch the opening scene of Idiocracy. 

When I ask my friends why they’re not yet having kids (very few are), it sounds exactly like the movie.",9.9K,73K
2022-06-18,Elon Musk@elonmusk,Congratulations to Giga Berlin team on making over 1000 cars in a week!,5.9K,98K
2022-06-18,Elon Musk@elonmusk,Feels like déjà vu all over again haha,3.1K,45K
2022-06-18,Elon Musk@elonmusk,"This is where 
the writers are,

Of past,
Present,
And Future.",7.1K,83K
2022-06-18,Elon Musk@elonmusk,We’re changing Starlink’s default wifi name to Stinky,8.5K,140K
2022-06-19,Elon Musk@elonmusk,Congrats to SpaceX Falcon team for executing 3 flawless launches in 2 days!,4K,54K
2022-06-19,Elon Musk@elonmusk,Happy Father’s Day,29K,408K
2022-06-19,Elon Musk@elonmusk, shadow crew ,4.7K,83K
2022-06-19,Elon Musk@elonmusk,I will keep supporting Dogecoin,39K,365K
2022-06-20,Elon Musk@elonmusk,What … is your favorite cheese?,17K,171K
2022-06-20,Elon Musk@elonmusk,AI gets better every day,14K,133K
2022-07-12,Elon Musk@elonmusk,"Tesla’s automatic cabin overheat protection should make a real difference with record heatwaves.

Ability to adjust activation temperature coming with next software release.",4.5K,73K
2022-07-12,Elon Musk@elonmusk,Oh the irony lol,12K,210K
2022-07-13,Elon Musk@elonmusk,Excited about @NASAWebb potential!,4.6K,89K
2022-07-13,Elon Musk@elonmusk,Starship launch site tonight,6.1K,106K
2022-07-13,Elon Musk@elonmusk,A+ for cinematography,53K,463K
2022-07-15,Elon Musk@elonmusk,Dragon launching in 2 mins,3.7K,46K
2022-07-15,Elon Musk@elonmusk,"Mars may be a fixer upper of a planet, but it has great potential!",10K,137K
2022-07-15,Elon Musk@elonmusk,"Tesla is to protect life on Earth,
SpaceX to extend life beyond.",20K,213K
2022-07-19,Elon Musk@elonmusk,Please vote your shares with Tesla!,2.8K,31K
2022-07-19,Elon Musk@elonmusk,Congrats to Tesla Fremont + Giga Nevada for making their 2 millionth car!,6K,104K
2022-07-19,Elon Musk@elonmusk,One of the best features of Model X,7.6K,100K
2022-07-31,Elon Musk@elonmusk,Off to the Races set to Harley Quinn,3.4K,28K
2022-07-31,Elon Musk@elonmusk,Maybe free some people in jail for weed here too?,43K,360K
2022-07-31,Elon Musk@elonmusk,"If our reality is actually an alien soap opera, our ratings would be ",10K,140K
2022-08-01,Elon Musk@elonmusk,Still time to vote!,1.9K,25K
2022-08-02,Elon Musk@elonmusk,Worth reading. This is a close match for my philosophy.,4.7K,43K
2022-08-02,Elon Musk@elonmusk,Just came across this pretty good CNBC piece on SpaceX & Starship,2.8K,28K
2022-08-02,Elon Musk@elonmusk,The ratio of digital to biological compute is growing fast. Worth tracking.,6.4K,94K
2022-08-05,Elon Musk@elonmusk,Thank goodness for Senator Manchin,4.9K,85K
2022-08-05,Elon Musk@elonmusk,Full Send Podcast,4.4K,41K
2022-08-05,Elon Musk@elonmusk,Hustling to get Starship Booster 7 back to pad to test outer ring of 20 engines,3.7K,62K
2022-08-06,Elon Musk@elonmusk,Moving rocket to launch pad,8.8K,137K
2022-08-06,Elon Musk@elonmusk,Less than 5% of Twitter daily users are fake/spam,7.1K,62K
2022-08-06,Elon Musk@elonmusk,Saxon James Musk,3.4K,37K
2022-08-21,Elon Musk@elonmusk,FSD Beta 10.69 drops on 8/20,4.6K,63K
2022-08-22,Elon Musk@elonmusk,,16K,440K
2022-08-22,Elon Musk@elonmusk,"2 main goals this year: 

- Starship to orbit
- FSD wide release

Many other things, of course, but those are the 2 giant kahunas. Will require insane work by many super talented people, but, if anyone can do it, they can. 

It is an honor to work with such awesome human beings.",6.1K,72K
2022-08-23,Elon Musk@elonmusk,Neuralink progress update show & tell on October 31 st (Halloween),6.8K,87K
2022-08-24,Elon Musk@elonmusk,Mechazilla loads Starship on launchpad,10K,150K
2022-08-24,Elon Musk@elonmusk,The course of civilization is not always upward,3K,31K
2022-08-24,Elon Musk@elonmusk,This is something special,4.1K,40K
2022-08-25,Elon Musk@elonmusk,Livestream of big news in about an hour,2.3K,24K
2022-08-26,Elon Musk@elonmusk,"Starlink V2, launching next year, will transmit direct to mobile phones, eliminating dead zones worldwide",21K,187K
2022-08-26,Elon Musk@elonmusk,Population collapse due to low birth rates is a much bigger risk to civilization than global warming,53K,332K
2022-08-26,Elon Musk@elonmusk,Countries should be increasing nuclear power generation! It is insane from a national security standpoint & bad for the environment to shut them down.,35K,283K
2022-08-28,Elon Musk@elonmusk,Squeezing extra performance out of Falcon 9 – almost at 17 metric tons to an actual useful orbit with booster & fairing reusable!,2.3K,33K
2022-08-28,Elon Musk@elonmusk,"On advice of a good friend, I’ve been fasting periodically & feel healthier",14K,185K
2022-08-28,Elon Musk@elonmusk,"From time to time, I will share some things that seem to be working for me, in case you find it helpful",12K,192K
2022-08-28,Elon Musk@elonmusk,Godspeed Artemis!,4.2K,48K
2022-08-28,Elon Musk@elonmusk,This will happen again – just a matter of time,5.4K,50K
