dates,ID,content,rt,like
2023년 9월 7일,Elon Musk@elonmusk,Exactly,1.6만,17만
2023년 9월 7일,Elon Musk@elonmusk,"Jonathan at ADL kicked off a massive Twitter boycott campaign less than a week after the acquisition closed. 

Literally nothing had changed about the site. 

Our US revenue is still 60% down from that campaign, but slowly improving.",2.6만,15만
2023년 9월 7일,Elon Musk@elonmusk,Good article,1.1만,8.9만
2023년 9월 7일,Elon Musk@elonmusk,"Not quite how I would tell the story, but very accurate for an observer who only saw part of the puzzle",1.8만,14만
2023년 9월 6일,Elon Musk@elonmusk,"Starship is ready to launch, awaiting FAA license approval",2.9만,27만
2023년 9월 6일,Elon Musk@elonmusk,United Airlines: computer says no,7.3천,5.7만
2023년 9월 6일,Elon Musk@elonmusk,"Live by the block, die by the",2.1만,24만
2023년 9월 5일,Elon Musk@elonmusk,The Facebook caved to far left pressure groups and now allows them to silently dictate policy in exchange for ad money,4.8만,21만
2023년 9월 5일,Elon Musk@elonmusk,Interesting documentary,1.6만,12만
2023년 9월 5일,Elon Musk@elonmusk,Interesting article,1.6만,8.9만
2023년 9월 5일,Elon Musk@elonmusk,"To clear our platform’s name on the matter of anti-Semitism, it looks like we have no choice but to file a defamation lawsuit against the Anti-Defamation League … oh the irony!",4.8만,38만
2023년 8월 26일,Elon Musk@elonmusk,"Follow @X to learn about features & bug fixes.

Please comment about any upgrades you want or problems we need to address!",5.1천,3.6만
2023년 8월 26일,Elon Musk@elonmusk,Successful Starship Super Heavy Booster static fire!,9.1천,8.4만
2023년 8월 26일,Elon Musk@elonmusk,Upgrades,7.4천,7.6만
2023년 8월 25일,Elon Musk@elonmusk,The speed at which your message on this platform can reach a vast number of people is mind-blowing,2.5만,26만
2023년 8월 25일,Elon Musk@elonmusk,Next-level,8.8만,68만
2023년 8월 24일,Elon Musk@elonmusk,Interview with @realDonaldTrump,4.1만,26만
2023년 8월 24일,Elon Musk@elonmusk,"Exactly. 

X will be filing legal action to stop this. Can’t wait for discovery to start!",4.7만,19만
2023년 8월 24일,Elon Musk@elonmusk,Our advertising revenue share program also applies to organizations (news or otherwise) who wish to participate,1만,11만
2023년 8월 24일,Elon Musk@elonmusk,Interesting,2.1만,17만
2023년 8월 18일,Elon Musk@elonmusk,What do you want to make of it?,7.1천,9.9만
2023년 8월 18일,Elon Musk@elonmusk,Every day is a brand new day,2.9만,23만
2023년 8월 18일,Elon Musk@elonmusk,He is a very promising candidate,2.8만,21만
2023년 8월 17일,Elon Musk@elonmusk,Just arrived in amazing  Japan ,3.6만,38만
2023년 8월 17일,Elon Musk@elonmusk,Exactly,8.2천,9.7만
2023년 8월 17일,Elon Musk@elonmusk,Past bot defenses are failing. Only subscription works at scale.,8.1천,6.8만
2023년 8월 17일,Elon Musk@elonmusk,"Don’t wanna jinx it, but @SpaceX is tracking to lift 80% of all mass to orbit, China ~10% & rest of world ~10%",7.8천,6.1만
2023년 8월 17일,Elon Musk@elonmusk,Tesla & SpaceX/Starlink doing our best to be helpful to Hawaii,2만,24만
2023년 8월 16일,Elon Musk@elonmusk,Immersive video on X is starting to get good. Just swipe up for next video.,1만,13만
2023년 8월 16일,Elon Musk@elonmusk,Great analysis of @CommunityNotes by @VitalikButerin,4.6천,4만
2023년 8월 16일,Elon Musk@elonmusk,I am whatever the opposite of an escape artist is,1.6만,23만
2023년 8월 16일,Elon Musk@elonmusk,"Fight Recap:

I joked on X about fighting Zuck

Zuck then said “SEND ME LOCATION” 

Italy graciously offered a Colosseum

Zuck declined

I suggested his home as “safe space”

Tragically, he was ahem “traveling”

Is there anywhere he will fight?",3.5만,31만
2023년 8월 15일,Elon Musk@elonmusk,"For the Tesla FSD test drive in Palo Alto tonight, I will ask the car to drive to @finkd’s house.

Will also test latest X livestream video, so you can monitor our adventure in real-time!

If we get lucky and Zuck my  actually answers the door, the fight is on!",1.3만,11만
2023년 8월 15일,Elon Musk@elonmusk,"Knock, knock … challenge accepted … open the door @finkd",2만,21만
2023년 8월 14일,Elon Musk@elonmusk,The die is cast,1.4만,16만
2023년 8월 6일,Elon Musk@elonmusk,"If you were unfairly treated by your employer due to posting or liking something on this platform, we will fund your legal bill.

No limit. 

Please let us know.",17만,86만
2023년 8월 5일,Elon Musk@elonmusk,"To be eligible for your ad revenue share, you must be an X Premium (Blue) subscriber. 

The ad money will otherwise be kept by X if you are not an X Premium (Blue) subscriber. 

This program is open to everyone.",1.3만,10만
2023년 8월 5일,Elon Musk@elonmusk,"Long, but interesting. I recommend playing at 1.5 speed with pic in pic, so you can still use X and other apps while listening.",9.7천,5.7만
2023년 8월 5일,Elon Musk@elonmusk,"Interest in ad rev share by content creators has far exceeded our expectations, so will take a few more days to process. 

Major payouts coming soon!",7.5천,7.5만
2023년 8월 5일,Elon Musk@elonmusk,"Preparing for next Starship flight! This time, I think we have ~50% probability of reaching orbital velocity, however even getting to stage separation would be a win.",7.8천,6.6만
2023년 8월 5일,Elon Musk@elonmusk,"I know some people hate on them, but I have to credit the whole @Starbucks team with reliably serving millions of coffees & snacks every day around the world",8.9천,11만
2023년 8월 5일,Elon Musk@elonmusk,Legacy media and the truth …,2만,20만
2023년 8월 5일,Elon Musk@elonmusk,"The New York Times actually has the nerve to support calls for genocide! If ever there was a time to cancel that publication, it is now.

You can read their articles for free anyway using http://removepaywall.com.",5.1만,20만
2023년 8월 4일,Elon Musk@elonmusk,Live video now works reasonably well. Just tap the button that looks like a camera when you post:,1.2만,9.3만
2023년 7월 29일,Elon Musk@elonmusk,New water deluge system to protect against the immense heat & force of Starship launch,1.9만,19만
2023년 7월 29일,Elon Musk@elonmusk,Create anything!,6.5천,5.8만
2023년 7월 29일,Elon Musk@elonmusk,𝕏 monthly users reach new high in 2023,1.6만,19만
