dates,ID,content,rt,like
2023년 5월 21일,Tim Cook@tim_cook,"We created Apple TV+ to tell stories that make a difference, and “Killers of the Flower Moon” does just that. Thank you to the Osage Nation, Martin Scorsese and all involved in telling this important story. And thank you to the Cannes Film Festival for an unforgettable night!",595,6.4천
2023년 4월 17일,Tim Cook@tim_cook,"Hello, Mumbai! We can’t wait to welcome our customers to the new Apple BKC tomorrow. ",2.2천,2.8만
2023년 4월 13일,Tim Cook@tim_cook,"Every day, our teams are innovating to develop products that will one day take nothing from the Earth. Thanks to their work, each battery we design for our products will use 100% recycled cobalt by 2025.",859,1만
2023년 4월 12일,Tim Cook@tim_cook,Investing in innovative nature-based carbon removal projects is one of the many ways we’re fighting climate change. Expanding our Restore Fund will help remove another 1 million metric tons of carbon from the atmosphere each year.,460,4.1천
2023년 4월 9일,Tim Cook@tim_cook,Happy Easter! ,633,9천
2023년 4월 6일,Tim Cook@tim_cook,Wishing everyone celebrating Passover around the world a wonderful holiday filled with community and tradition.,253,3.2천
2023년 4월 5일,Tim Cook@tim_cook,"We’re investing in new, green technologies and partnering with companies to bring more clean energy online worldwide. The scale of this challenge is immense — but so is our determination to meet it.",496,4.3천
2023년 4월 1일,Tim Cook@tim_cook,"At Apple, we proudly stand with all trans and gender non-conforming people, and we are deeply committed to building an inclusive environment — and a better world — where everyone feels they belong. #TransDayOfVisibility",485,4.5천
2023년 4월 1일,Tim Cook@tim_cook,"We’re thrilled to open Apple Gangnam, a wonderful new space for customers to explore our latest products and services in Seoul. ",456,5천
2023년 3월 31일,Tim Cook@tim_cook,"Our team was so excited to host NewJeans for a special sneak peek at Apple Gangnam, we can’t wait to open our doors and welcome customers tomorrow in Seoul.",2.2천,7.3천
2023년 3월 29일,Tim Cook@tim_cook,"Get ready for an incredible experience with Apple Music Classical, the world’s largest classical music catalog at your fingertips, available now and in spatial audio. This is “A Major” achievement!  ",709,5.9천
2023년 3월 26일,Tim Cook@tim_cook,Our hearts go out to the people and communities affected by severe storms across the South. Apple will be donating to relief and recovery efforts.,391,5.7천
2023년 3월 25일,Tim Cook@tim_cook,"The world lost a giant in Gordon Moore, who was one of Silicon Valley’s founding fathers and a true visionary who helped pave the way for the technological revolution. All of us who followed owe him a debt of gratitude. May he rest in peace.",1천,8.7천
2023년 3월 23일,Tim Cook@tim_cook,Ramadan Mubarak to all those observing! May your days be filled with the joy of community. ,947,9.6천
2023년 3월 15일,Tim Cook@tim_cook,Hello Yellow!,550,5.9천
2023년 3월 13일,Tim Cook@tim_cook,"Congratulations to the team behind The Boy, the Mole, the Fox and the Horse on their Academy Award! Your beautiful short tells an enduring story about the meaning of kindness, acceptance, and hope.",334,4.2천
2023년 1월 11일,Tim Cook@tim_cook,"As storms continue to wreak havoc in California and across the U.S., we hope everyone stays safe. Apple is donating to support relief efforts in communities across the country.",689,1만
2023년 1월 2일,Tim Cook@tim_cook,"Happy New Year!  May 2023 be the year we find peace, the year we reconnect with our shared humanity, and the year we recommit ourselves to a brighter future.",2.5천,3.7만
2022년 12월 26일,Tim Cook@tim_cook,"Today we celebrate the gift of friends and family, the hope for peace, and the joy that comes from being together. Merry Christmas!",1.6천,2.7만
2022년 12월 19일,Tim Cook@tim_cook,"Happy Hanukkah to all those celebrating! As you gather around the menorah with family and friends, I hope you enjoy the first of many nights filled with health and happiness. ",429,6.3천
2022년 12월 19일,Tim Cook@tim_cook,One of the greatest games I’ve ever seen. Congratulations Argentina!,1.2만,16만
2022년 12월 16일,Tim Cook@tim_cook,,3.7천,6.6만
2022년 12월 16일,Tim Cook@tim_cook,"Great to visit with the team at Inoue, a family-run business that’s been operating in Fukui for over 70 years. They are bringing together traditional craftsmanship with state-of-the-art manufacturing to weave stunning Apple Watch bands.",1.4천,1만
2022년 12월 16일,Tim Cook@tim_cook,Paralympians Daisuke Ikezaki and Shinichi Shimakawa are using Apple Watch to take their wheelchair rugby workouts to the next level. Thanks for letting me join your training session today!,394,4천
2022년 12월 16일,Tim Cook@tim_cook,"Great to spend time with our team here in Roppongi and across Japan — thanks for all you do to support Apple, our users, and each other!",451,5.3천
2022년 12월 16일,Tim Cook@tim_cook,It’s always such a joy to visit with the team at Apple Marunouchi. Thanks for sharing your incredible energy and passion — and for helping our customers this busy holiday season.,322,3.5천
2022년 12월 15일,Tim Cook@tim_cook,"What an unforgettable #ShotoniPhone photo walk with @yusukeokawa, @Hisa0808, and @yukaohishi! Blown away by these talented creators and the ways they use iPhone to share their art with the world.",496,3.4천
2022년 12월 15일,Tim Cook@tim_cook,"It’s incredible to be back in a country that’s so near and dear to our hearts at Apple. Thank you, @kishida230, for the warm reception. We’re looking forward to continuing to grow and invest across Japan.",828,6.8천
2022년 12월 15일,Tim Cook@tim_cook,"Qoncept, Whatever Co., and Fantamstick are great examples of the creative and entrepreneurial developers here in Japan who are bringing their apps to the world. We’re glad to launch our App Store Foundations program in Japan to help even more developers thrive on @AppStore.",396,3.5천
2022년 12월 14일,Tim Cook@tim_cook,Our teams at our technology center in Yokohama are doing everything from pioneering new optical coating technologies for iPhone to supporting our customers across Japan. Thanks for hosting me in the office.,555,5.7천
2022년 10월 19일,Tim Cook@tim_cook,"We’re excited to introduce our most advanced iPad lineup yet! iPad has major updates, and M2 supercharges iPad Pro’s performance to help unleash your creativity and enhance productivity. Looking forward to seeing what our users will create!",1.3천,7.4천
2022년 10월 18일,Tim Cook@tim_cook,The possibilities are endless. #TakeNote,5.4천,2.9만
2022년 10월 10일,Tim Cook@tim_cook,"On this Indigenous Peoples’ Day, we honor the dynamic cultures, experiences, and contributions of Native communities.",341,4.5천
2022년 10월 7일,Tim Cook@tim_cook,"From helping kids learn Spanish to making grocery store shopping more accessible to expanding access to mental health tools, these developers are sharing their talent, skills, and culture to make the world more inclusive.",249,1.5천
2022년 10월 5일,Tim Cook@tim_cook,"Steve showed us all, again and again, that a great idea really can change the world. Remembering him today and always.",6.2천,5.4만
2022년 10월 5일,Tim Cook@tim_cook,"We’re proud to work side by side with educators and community-based organizations to support learners of all ages as part of our Community Education Initiative, opening doors to new opportunities for students around the world.",158,1.5천
2022년 10월 1일,Tim Cook@tim_cook,"What an incredible week spending time with our teams across Europe and celebrating developers, students, and creators who are leaving their mark on the world. Grazie mille team Milan — Arrivederci!",232,4.1천
2022년 9월 30일,Tim Cook@tim_cook,"What started as a project between friends became a thriving business on the App Store — and above all, they know how to step up to help their community. Thanks for inviting me to meet with the whole team today! Bravi!",178,1.7천
2022년 9월 30일,Tim Cook@tim_cook,"Thank you to the team at Apple Piazza Liberty! I saw the impact Today at Apple Creative Studios has on young creatives in the community. We’re grateful for the partnership with Afro Fashion giving emerging designers the tools, connections, and support to pursue their dreams.",197,2.4천
2022년 9월 30일,Tim Cook@tim_cook,Triennale Milano is an extraordinary institution — a grand building where amazing artists reflect on today’s biggest issues. I loved hearing how Giovanna used iPhone photography to inspire people during the pandemic. Thank you Stefano for a very special tour!,173,2.3천
2022년 9월 30일,Tim Cook@tim_cook,"Gold Medal Paralympian @VioBebe doesn’t believe anything is impossible — and, at Apple, neither do we! It was great to meet you, Sandro, and the team to see how you're championing inclusive sports, making them accessible to all, and igniting positive change everywhere you go.",186,2.6천
2022년 9월 8일,Tim Cook@tim_cook,"It was a great day at Apple Park, introducing the world to products that are essential to our daily lives and that work seamlessly together. #AppleEvent",2.1천,1.9만
2022년 9월 7일,Tim Cook@tim_cook,Good morning! Looking forward to a stellar Apple event.,4.3천,4만
2022년 9월 3일,Tim Cook@tim_cook,"We're thinking of the people of Jackson, Mississippi who are struggling for that most basic of necessities this summer — clean water. Apple is donating to relief efforts on the ground aimed at distributing food and water immediately.",427,6.2천
2022년 8월 31일,Tim Cook@tim_cook,"The floods in Pakistan and surrounding areas are devastating humanitarian disasters. Our thoughts are with those that have lost loved ones, the many displaced families, and all those affected. Apple will donate to relief and recovery efforts on the ground.",6.4천,3.6만
2022년 8월 26일,Tim Cook@tim_cook,We're proud to welcome the second Apple Impact Accelerator class of entrepreneurs. These leaders are meeting the challenges of climate change with creative technologies and a daring optimism about what's possible.,209,1.7천
2022년 8월 23일,Tim Cook@tim_cook,Our National Parks are some of our country’s greatest treasures welcoming visitors from all around the world. They connect us to nature and remind us just how precious our planet is.,241,2.5천
2022년 8월 21일,Tim Cook@tim_cook,"These aspiring coders, creators, and entrepreneurs are blazing exciting new trails. Proud to continue our longstanding partnership with @KodeWithKlossy to empower young women to write the apps of the future. Thanks, Apple Fifth Avenue team, for hosting these talented scholars!",173,1.8천
2022년 8월 20일,Tim Cook@tim_cook,"The moment when sun, sand, and ocean meet. Thank you to @eoside for the stunning photo shot on iPhone 13 Pro — a perfect image to celebrate #WorldPhotographyDay! ",523,7.7천
2022년 8월 19일,Tim Cook@tim_cook,Beautiful work from blind and low vision creators in Chicago’s Photography for All summer program. They described how taking photos on iPhone or iPad is about more than creativity – it’s a way to access visual information and explore new places. https://apple.com/newsroom/2022/08/seeing-chicago-differently-with-iphone-and-ipad/…,287,3.1천
2022년 8월 15일,Tim Cook@tim_cook,"Congratulations to the incredible cast and crew behind Severance and Ted Lasso on @AppleTVPlus for winning Best Drama and Best Comedy at tonight’s Hollywood Critics Association TV Awards! Proud of the Richmond footballers and Lumon’s macrodata refiners (and their outies, too).",446,6.3천
2022년 8월 11일,Tim Cook@tim_cook,"We’re proud to celebrate Apple’s 40-year long history in Australia with projects that will help create clean energy, continue to expand coding education, and advance equity for Indigenous communities. Cheers to 40 years!",287,2.9천
2022년 8월 1일,Tim Cook@tim_cook,"Our hearts are with everyone impacted by the devastating floods in Kentucky and surrounding states. To everyone in harm’s way, please stay safe. Apple will be donating to community relief and recovery efforts.",389,5.3천
2022년 7월 29일,Tim Cook@tim_cook,"We’re excited to open Apple Brompton Road, our new store near London’s Hyde Park!  This beautiful store will have some incredible Today at Apple sessions, artist workshops, and AR experiences on tap for the community.",426,4.4천
2022년 5월 19일,Tim Cook@tim_cook,Privacy is a fundamental right and we build it into all our products and services at Apple. You should be in control of your data — not the highest bidder.,738,5.2천
2022년 5월 17일,Tim Cook@tim_cook,"At Apple, we design for accessibility from the ground up and we’re constantly innovating on behalf of our users. The cutting-edge features we are sharing today will offer new ways for people with disabilities to navigate, connect, and so much more.",707,4.5천
2022년 5월 15일,Tim Cook@tim_cook,We’re honored to have so many members of the Gallaudet community as part of our Apple family. Thank you for everything you do for our customers — and for each other.,214,2.9천
2022년 5월 14일,Tim Cook@tim_cook,"Thank you to @GallaudetU for having me today! I was awed by the spirit of community and so grateful to be able to celebrate with all of you in person. Lead with your values, and lead you will. Great things are in store for the class of 2022!",206,2.2천
2022년 5월 8일,Tim Cook@tim_cook,"Today we honor and celebrate mothers everywhere — moms with us, moms we miss, and the people who stepped into the role many times over – thank you for believing in us, inspiring us, and helping us realize our dreams. Happy Mother's Day!",660,7.9천
2022년 5월 6일,Tim Cook@tim_cook,This Asian Pacific American Heritage Month we celebrate the contributions and achievements of so many AAPI individuals who have made America what it is today. Our society is at its best when we bring together everyone’s unique perspectives and backgrounds.,188,2.2천
2022년 5월 4일,Tim Cook@tim_cook,"Go behind the Mac and learn how @skywalkersound brings you to a Galaxy Far, Far Away. #MayThe4th be with you!",336,2.2천
2022년 5월 2일,Tim Cook@tim_cook,Eid Mubarak to everyone celebrating around the world! Wishing you a joyous and peaceful holiday connecting with family and friends.,6.6천,6.5만
2022년 4월 27일,Tim Cook@tim_cook,"Some nicknames just fit. Loving this powerful series about one of the greatest to ever play the game. Thank you for sharing your story with us, Magic!",181,1.7천
2022년 4월 25일,Tim Cook@tim_cook,"Chicken and rice, what could go wrong? ‘Poached’ from film director @ThisIsDavidGelb is entirely #ShotOniPhone and captures the nuances of Singaporean street food culture and the simple beauty of Hainanese . Enjoy!",409,2.7천
2022년 4월 23일,Tim Cook@tim_cook,Daisy's been hard at work. ,426,3.9천
2022년 4월 23일,Tim Cook@tim_cook,"Protecting the environment is a huge responsibility that we consider in everything we do. Teams across the company are meeting the moment with commitment and clarity of purpose. In honor of #EarthDay, here's how we’re working toward a greener future.",499,4.3천
2022년 4월 22일,Tim Cook@tim_cook,Apple is partnering with @AERFConserve to help Maharashtra save its mangrove forests — habitats that absorb carbon and protect against monsoons and tsunamis. This is another one of the many ways we are fighting to protect and preserve the environment.,252,2.2천
2022년 3월 23일,Tim Cook@tim_cook,Great morning at Apple Carnegie Library! Thanks to @MarleeMatlin and the incredible cast of #CODAFilm for stopping by and chatting with the team.,117,1.4천
2022년 3월 18일,Tim Cook@tim_cook,Wishing everyone celebrating Holi a vibrant beginning to spring. Here’s to spreading the joy of color with these beautiful images #ShotOniPhone13ProMax by @coffeekarma and @rohit_apf.,765,8.4천
2022년 3월 16일,Tim Cook@tim_cook,Our Impact Accelerator creates opportunities for US companies that are advancing environmental innovation in communities across the country. We’re looking forward to welcoming even more to the next class starting soon.,138,1.4천
2022년 3월 13일,Tim Cook@tim_cook,Celebrating incredible writer/director @sianheder and the amazingly talented @marleematlin as #CODAFilm was honored at #AFIAwards. #WomensHistoryMonth,249,3.7천
2022년 3월 12일,Tim Cook@tim_cook,"As the east coast of Australia contends with the impact of historic flooding on a devastating scale, our hearts go out to everyone affected and Apple will be donating to relief efforts.",418,6천
2022년 3월 12일,Tim Cook@tim_cook,".@Malala’s episode of Time to Walk on Fitness+ is an inspiring journey for us all and an important reminder of the power of education. As she says, “The work for education is always needed, but in this moment it is needed more than ever.”  https://fitness.apple.com/us/workout/time-to-walk-with-malala-yousafzai/1610013030…",271,2.4천
2022년 3월 11일,Tim Cook@tim_cook,"As a proud member of the LGBTQ+ community, I am deeply concerned about laws being enacted across the country, particularly those focused on our vulnerable youth. I stand with them and the families, loved ones, and allies who support them.",2.9천,2.6만
