dates,ID,content,rt,like
2023년 1월 12일,Reed Hastings@reedhastings,The University I wish I could have gone to at 18. Amazing place for the next gen of global leaders.,78,305
2022년 12월 22일,Reed Hastings@reedhastings,so great we come together to fight Russia and support brave Ukrainian soldiers and courageous people.,7,171
2022년 12월 11일,Reed Hastings@reedhastings,"Thank you for 50 years of service, Dr. Fauci.",640,5.2천
2022년 12월 5일,Reed Hastings@reedhastings,can't get enough,14,105
2022년 11월 21일,Reed Hastings@reedhastings,Ugh. I had been hoping Iger would run for President. He is amazing.,405,4.1천
2022년 10월 12일,Reed Hastings@reedhastings,"Best comedy hour I've seen in years.  So honest, and then hilarious.",18,149
2022년 10월 2일,Reed Hastings@reedhastings,very cool,9,77
