dates,ID,content,rt,like
3월 5일,John Legere@JohnLegere,"As of this morning, Trump is back on the Colorado ballot after a Supreme Court decision. What do you think of this new move?",6,198
3월 4일,John Legere@JohnLegere,"I have a little challenge for you this week. Try to be more optimistic this week. I know it can seem difficult with everything going on in the world, but sometimes it’s just the push you need. #SundayMotivation",18,136
3월 4일,John Legere@JohnLegere,"This article actually has my curious. How can technology fit into our lives a little better, rather than changing everything around us? I want to know!",2,23
3월 3일,John Legere@JohnLegere,"Have you donated yet? Help me raise money for the Dana-Farber Cancer Institute as they research treatments for blood cancers, breast cancer, ovarian cancer, pancreatic cancer, and pediatric brain cancer!",6,42
3월 3일,John Legere@JohnLegere,Truly an icon that was unapologetically herself. #RIPIrisApfel,3,48
3월 2일,John Legere@JohnLegere,Elon Musk is NOT happy with Sam Altman and OpenAI. He’s claiming that they’re breaking their contract by receiving funding from Microsoft and making money. What do you think?,5,24
3월 2일,John Legere@JohnLegere,"Thank you Forbes for highlighting my days at T-Mobile and using my personal brand to connect with customers! Great article!
https://forbes.com/sites/rogertrapp/2024/02/29/how-a-ceos-personal-brand-can-help-connect-with-customers/?sh=4b256be65f27…",9,70
3월 1일,John Legere@JohnLegere,"Inflation went up as expected in January and now everyone is holding their breath for the reports that are about to come in for February. I’m being hopeful! 
https://cnbc.com/2024/02/29/pce-inflation-january-2023-.html…",2,35
3월 1일,John Legere@JohnLegere,It’s a #LeapDay! Which means an extra day to get things done and ready for end of the first quarter. Are you ready?,2,36
2월 29일,John Legere@JohnLegere,"Looks like we still have to talk about Bitcoin as it jumped over $60000 this morning, the highest since November 2021! It just keeps climbing!",,31
2월 29일,John Legere@JohnLegere,"I am thrilled to be running in the 128th Boston Marathon this year and raising $500,000  for the Dana Farber Cancer Institute while I do! Help me support this amazing organization!",3,77
2월 28일,John Legere@JohnLegere,We might not be seeing a merger between Kroger and Albertson’s after all. What do you think about the possible merger?,5,36
2월 28일,John Legere@JohnLegere,"Hey @WaltLightShed, I saw your post! I listened to your podcast, and while I’m flattered, I just have to say…does being CEO mean free access to all of the parks?",8,39
2월 27일,John Legere@JohnLegere,Some more good news to brighten your week. A $1 billion dollar donation to the Albert Einstein College of Medicine in the Bronx and free tuition for students moving forward. I can only imagine what good this could do for the future.,11,55
2월 27일,John Legere@JohnLegere,"Amazon officially joined the Dow today! Even if it seems small, it makes this an exciting Monday.",5,34
2월 12일,John Legere@JohnLegere,It’s Super Bowl Sunday! Let me know what you’re doing for the big game today. Bonus points if it involves a slow cooker!,4,75
2월 12일,John Legere@JohnLegere,"It looks like Altman is turning his attention to chips now that he’s changed the world of AI. That is a huge amount to seek from investors, though. I wonder how he’ll do it.",2,8
2월 11일,John Legere@JohnLegere,Glad to hear that all of the FTX customers who lost money to Sam Bankman-Fried will be getting fully repaid!,6,27
2월 11일,John Legere@JohnLegere,Wishing everyone who is celebrating today a wonderful and prosperous Lunar New Year! Here’s to the Year of the Dragon!,4,46
2월 10일,John Legere@JohnLegere,"It’s a good day for Bitcoin today, topping off at $47,000 for the first time since March 2022!",4,30
2월 10일,John Legere@JohnLegere,"I’m so happy to see Kobe’s legacy live on. Can’t wait to see the other statues to come, especially the one of him with his daughter so their memory can continue to live on.",7,53
2월 9일,John Legere@JohnLegere,Looks like Google’s Bard is now Gemini. I wonder what inspired the change.,4,19
2월 9일,John Legere@JohnLegere,"Some #ThursdayThoughts because I’ve been running around lately. When life gets busy, remember to take a minute and just appreciate where you are. Sometimes we forget how amazing it is.",3,51
2월 8일,John Legere@JohnLegere,"Another day, yet another new streaming service. At least it will put a bunch of sports into one place, but do we really need another platform?",5,35
2월 8일,John Legere@JohnLegere,Ouch! To lose to “none of these candidates.” That’s got to hurt Haley’s campaign. Wonder where they can go from there.,3,24
2월 7일,John Legere@JohnLegere,"I wonder if X is going to follow suit and identify AI-generated images. 
https://cnbc.com/2024/02/06/meta-to-identify-more-ai-generated-images-ahead-of-upcoming-elections.html…",7,33
2월 7일,John Legere@JohnLegere,Heartbreaking to see such a great artist taken from us so soon because of cancer. RIP Toby Keith,5,95
2월 6일,John Legere@JohnLegere,"I know we’re going to see a lot of this type of legislation this year that balances out what AI should and shouldn’t be used for. While I welcome it, I also hope it doesn’t",1,21
2월 6일,John Legere@JohnLegere,"Here's some #MondayMotivation to kick off your work week. There are a lot of uncertainties in business and finance- just look at the stocks! However, you can’t let that hold you back from taking a chance. After all, you never know what it will lead you to. I know I didn’t!",2,21
2월 5일,John Legere@JohnLegere,"It’s Grammy night! Excited to see some of the performances, especially from some of the legends like Billy Joel and Joni Mitchell! I have to ask, what were your favorite songs this year?",,33
2월 4일,John Legere@JohnLegere,"The US Olympic Marathon Trials were this morning down in Orlando! Congrats to all of the runners who competed, but especially those that will be representing us this summer in Paris!",3,46
1월 21일,John Legere@JohnLegere,Fantastic closing numbers in the stock market yesterday! Just keeps going higher! Excited to see what happens next.,4,34
1월 20일,John Legere@JohnLegere,Wow! What is going on over at Sports Illustrated this morning? A revoked license AND laying off almost their entire staff?!,1,32
1월 20일,John Legere@JohnLegere,You’ve heard my opinion on AI affecting jobs…I wonder what ChatGPT has to say. Ha! Here’s what you need to know!,4,33
1월 20일,John Legere@JohnLegere,Excited to see what Meta comes up with but I have to ask…what happens to the Metaverse Zuck’s been talking about for years?,2,18
1월 19일,John Legere@JohnLegere,"Not a good time of the year for EVs, I guess. I’m sure this could affect the market moving forward, but I’m curious about how much.",,39
1월 19일,John Legere@JohnLegere,I just did a trial run of the new @Nike Alphafly3. I did it on a treadmill but even there I would give it at least a 9 out of 10. Has anybody else tried them yet?,4,38
1월 19일,John Legere@JohnLegere,"The jobless claims report this week is looking good! Lowest reading in over a year!
https://cnbc.com/2024/01/18/weekly-jobless-claims-post-lowest-reading-since-september-2022.html…",3,21
1월 18일,John Legere@JohnLegere,We might be getting those rate cuts sooner rather than later. Excited!,2,29
1월 18일,John Legere@JohnLegere,It looks like some of the people who left X during Elon’s takeover are starting to come back.,3,30
1월 17일,John Legere@JohnLegere,"Elon Musk is looking to have more control over Tesla, wanting 25% of voting power! All so he can have more control over AI and robotics development. Makes me curious about what he has planned for Tesla’s future.",2,33
1월 17일,John Legere@JohnLegere,Iowa Caucus was yesterday with Trump in the lead.  Looks like election season is officially here!,2,24
1월 16일,John Legere@JohnLegere,"“We must use time creatively, in the knowledge that the time is always ripe to do right.” - Martin Luther King Jr #MLKDay",,44
1월 15일,John Legere@JohnLegere,What’s happening in markets going in to this coming week? Inflation data is in and Earnings season has started… let’s review,3,52
1월 3일,John Legere@JohnLegere,Feels like today is more the first day of the year instead of yesterday as we shake off the holidays. What are your goals for the new year?,1,80
1월 3일,John Legere@JohnLegere,"Everyone is holding their breath for a new Epstein Client list to come out this week. Certainly, a dramatic way to start the new year.",10,85
1월 2일,John Legere@JohnLegere,Hope everyone had a fantastic first day of the new year!,7,197
