dates,ID,content,rt,like
2023년 12월 8일,Elon Musk@elonmusk,"Improved streaming on 𝕏.

I will test this out by streaming Diablo Abattoir of Zir around 10pm CT tonight!",3천,2만
2023년 12월 8일,Elon Musk@elonmusk,Crazy that Disney has to be sued to stop this terrible behavior,3.4만,12만
2023년 12월 8일,Elon Musk@elonmusk,Community Notes expands to more countries,2.4천,1.8만
2023년 12월 8일,Elon Musk@elonmusk,"Yeah, why do their Chief Marketing Officers endorse child trafficking!?

Let’s ask them.",2.6만,10만
2023년 12월 8일,Elon Musk@elonmusk,Starlink now in Honduras!,4.4천,3.2만
2023년 12월 8일,Elon Musk@elonmusk,Congratulations on the award! Well-deserved.,2.5만,19만
2023년 12월 7일,Elon Musk@elonmusk,"Why no advertiser boycott, Bob Eiger? You are endorsing this material!",4.2만,18만
2023년 12월 7일,Elon Musk@elonmusk,,6.4천,6만
2023년 12월 7일,Elon Musk@elonmusk,Bob Eiger thinks it’s cool to advertise next to child exploitation material. Real stand up guy.,2.8만,13만
2023년 12월 7일,Elon Musk@elonmusk,Needs some work on cat counting and wtf is up with that disclaimer it’s just cats lmao,5천,5.5만
2023년 12월 4일,Elon Musk@elonmusk,What words should be applied to this meme that best capture the zeitgeist?,3.4천,2만
2023년 12월 4일,Elon Musk@elonmusk,Grow food yourself?,2.1만,18만
2023년 12월 4일,Elon Musk@elonmusk,It vexes me that we are still a puny one planet civilization!,1만,9.2만
2023년 12월 4일,Elon Musk@elonmusk,Human civilization is still a tiny startup in the grand scheme of things,1.3만,11만
2023년 12월 4일,Elon Musk@elonmusk,We are microbes on a dust mote in a vast emptiness overwhelming dominated by the sun,1.9만,13만
2023년 12월 3일,Elon Musk@elonmusk,,4.5천,3.1만
2023년 12월 3일,Elon Musk@elonmusk,"Good summary!

Note, Grok access is being opened up slowly to premium+ users over the coming week or so, prioritized by when they signed.",4.8천,2.9만
2023년 12월 3일,Elon Musk@elonmusk,251,4.8천,4.4만
2023년 12월 3일,Elon Musk@elonmusk,Wisdom >> Wealth,2.7만,17만
2023년 11월 28일,Elon Musk@elonmusk,"What say you, big brands?",2.4만,15만
2023년 11월 28일,Elon Musk@elonmusk,Amazing lmaooo,1만,7.5만
2023년 11월 28일,Elon Musk@elonmusk,SpaceX Falcon rocket just launched,6.5천,4.1만
2023년 11월 28일,Elon Musk@elonmusk,And another @CommunityNotes win exposing deception,2.9만,29만
2023년 11월 28일,Elon Musk@elonmusk,Another @CommunityNotes hall-of-famer ,6.8천,6.5만
2023년 11월 28일,Elon Musk@elonmusk,"Those who can’t handle reality will leave this platform due to @CommunityNotes. 

But the public will increasingly come to realize that 𝕏 is the best source of truth, causing our user numbers to rise as they abandon the less accurate sources of information.",3.7만,21만
2023년 11월 27일,Elon Musk@elonmusk,Language being proposed as law in Ireland means this could literally happen to you for having a meme on your phone,4.8만,26만
2023년 11월 23일,Elon Musk@elonmusk,Starship stage separation,9.7천,9.8만
2023년 11월 23일,Elon Musk@elonmusk,"In an upcoming release, 𝕏 will overlay title in the upper potion of the image of a URL card",5.6천,5.8만
2023년 11월 23일,Elon Musk@elonmusk,Q*Anon,7.5천,2.5만
2023년 11월 23일,Elon Musk@elonmusk,Grok,3.1천,2.6만
2023년 11월 23일,Elon Musk@elonmusk,"It’s not me, it’s the RNG",4.3천,6.3만
2023년 11월 23일,Elon Musk@elonmusk,Guess we’re not dead yet ,3.3만,33만
2023년 11월 23일,Elon Musk@elonmusk,Extremely concerning!,4.1천,1.6만
2023년 11월 23일,Elon Musk@elonmusk,Cybertrucks are on their way to Tesla stores in North America!,1.6만,15만
2023년 11월 23일,Elon Musk@elonmusk,"If you want to try a Tesla for a few days, you can rent one @Hertz",6.6천,6.2만
2023년 11월 23일,Elon Musk@elonmusk,"All design & engineering of the original @Tesla Roadster is now fully open source.

Whatever we have, you now have.",1.1만,8.4만
2023년 11월 22일,Elon Musk@elonmusk,What tangled webs we weave,1.6만,13만
2023년 11월 22일,Elon Musk@elonmusk,"This letter about OpenAI was just sent to me. 

These seem like concerns worth investigating.

https://gist.github.com/Xe/32d7bc436e401f3323ae77e7e242f858…",1.3만,6.6만
2023년 11월 22일,Elon Musk@elonmusk,X Corp will be donating all revenue from advertising & subscriptions associated with the war in Gaza to hospitals in Israel and the Red Cross/Crescent in Gaza,5.5만,34만
2023년 11월 19일,Elon Musk@elonmusk,HOT staging! Check it and see … ,8.2천,9.5만
2023년 11월 19일,Elon Musk@elonmusk,Starship launch control,8.8천,15만
2023년 11월 18일,Elon Musk@elonmusk,Accurate real-time Starship flight summary from Grok!,5.1천,4.6만
2023년 11월 18일,Elon Musk@elonmusk,Congratulations team @SpaceX team!,1.9만,18만
2023년 11월 18일,Elon Musk@elonmusk,Starship launch live broadcast,1만,5.6만
2023년 11월 18일,Elon Musk@elonmusk,Great question,2.2만,13만
