dates,ID,content,rt,like
2022년 4월 30일,John Legere@JohnLegere,"Real World, Daria, TRL … they had so many great shows. Which 90s favorite are you binging this weekend?",5,20
2022년 4월 30일,John Legere@JohnLegere,Feeling like half of these stories could be made into movies…Which one would you want to see?,4,17
2022년 4월 30일,John Legere@JohnLegere,"My favorite part of college was learning from fantastic institutions, making new friends, and being a part of the track team! Comment below your favorite parts of college and tag someone who HAS TO to apply to #LegereLegends. TWO more days to apply!!",3,19
2022년 4월 23일,John Legere@JohnLegere,Reusable water bottles all the way (unless you're tying them to fans — don't do that!) #earthday,4,24
2022년 4월 23일,John Legere@JohnLegere,Hmmm… this will be interesting.,8,28
2022년 4월 23일,John Legere@JohnLegere,Can you imagine opening your door to 15 boxes of gum?,2,18
2022년 4월 23일,John Legere@JohnLegere,"Reason 1: Education is so important! I am grateful every single day for my education and the opportunities it has given me. Through Legere Legends, I hope to fuel the fires of those students that share my passion for learning, humility, and personal growth in all aspects of life!",5,50
2022년 4월 22일,John Legere@JohnLegere,I'm overdue for some live music. What’s the last concert or music festival you went to?,4,36
2022년 4월 22일,John Legere@JohnLegere,Maybe we can repaint it magenta!,1,49
2022년 4월 22일,John Legere@JohnLegere,Does anyone else love new space adventures as much as I do?,3,28
2022년 4월 21일,John Legere@JohnLegere,"Are you looking to be more active this spring? 
https://buzzfeed.com/imstephaniehope/products-to-be-more-active-this-spring?origin=web-hf…",3,20
2022년 4월 21일,John Legere@JohnLegere,Think I'll start taking Lyft instead ... What about you?,13,117
2022년 4월 21일,John Legere@JohnLegere,Geeking out over this beautiful cover art!,2,30
2022년 4월 21일,John Legere@JohnLegere,Join me in my Space!,3,17
2022년 4월 20일,John Legere@JohnLegere,It's almost time for another Lunch Box Thoughts with John! Today we're talking about Ukraine. Make sure to grab your lunch and be ready to talk at 12 PM ET!,3,25
2022년 4월 20일,John Legere@JohnLegere,Who else is excited about this!?!?,7,92
2022년 4월 20일,John Legere@JohnLegere,"What a great use of drones!
https://theverge.com/23022323/drones-wildfire-first-nation-british-columbia…",10,40
2022년 4월 20일,John Legere@JohnLegere,I will not retire the word Doggo.,3,38
2022년 4월 19일,John Legere@JohnLegere,Some of these looks are INSANE!,4,24
2022년 4월 13일,John Legere@JohnLegere,"With the Boston Marathon on April 18th it is only fitting that today, we're having another exciting episode of Lunch Box Thoughts, with John! In this episode, we will be talking about Running. Make sure to set your alarms, lace up your shoes, and have your lunch ready for 12PM.",7,33
2022년 4월 13일,John Legere@JohnLegere,"Which is your favorite episode? 
https://mashable.com/article/best-episodes-the-office-ranked…",4,25
2022년 4월 13일,John Legere@JohnLegere,Here is the question we are all thinking @NintendoAmerica… Will Nintendo Switch Sports include Wii Golf?,5,35
2022년 4월 13일,John Legere@JohnLegere,I don’t think the new season of Bridgerton would get two thumbs up from me.,3,19
2022년 4월 12일,John Legere@JohnLegere,How many of these do you agree with?,2,20
2022년 4월 12일,John Legere@JohnLegere,I heard Apple TV Plus’ Friday night baseball was quite the strikeout!,3,25
2022년 4월 12일,John Legere@JohnLegere,The Cybertruck is almost here!!!,7,25
2022년 4월 11일,John Legere@JohnLegere,Now this will truly be EPIC!,9,39
2022년 4월 11일,John Legere@JohnLegere,Absolutely love this for Snapchat!,9,37
2022년 4월 11일,John Legere@JohnLegere,Who else is a Wordle lover?,3,38
2022년 4월 10일,John Legere@JohnLegere,Did you know dental floss did all of this?,4,18
2022년 4월 10일,John Legere@JohnLegere,"Will be downloading this ASAP!
https://mashable.com/article/masters-tournament-app-live-coverage…",5,15
2022년 4월 9일,John Legere@JohnLegere,Who wants to see me on Dancing with the Stars???,4,76
2022년 4월 9일,John Legere@JohnLegere,"I think we would rather have John bucks!
https://theverge.com/2022/4/6/23013896/meta-facebook-zuck-bucks-finance-financial-services-products…",5,34
2022년 4월 9일,John Legere@JohnLegere,This is ridiculous…Won't you just have wet jeans?,4,27
