Date,Open,High,Low,Close,Adj Close,Volume
2019-03-11,70.830002,71.580002,70.410004,71.470001,70.876991,2493100
2019-03-12,71.470001,72.129997,71.250000,71.699997,71.105072,2773200
2019-03-13,72.120003,72.480003,71.680000,72.250000,71.650513,1920400
2019-03-14,72.250000,72.440002,71.940002,72.339996,71.739761,1653300
2019-03-15,72.760002,73.500000,72.099998,73.459999,72.850479,2806200
2019-03-18,73.279999,73.910004,72.949997,73.680000,73.068649,2945300
2019-03-19,74.000000,74.059998,72.410004,72.589996,71.987686,4188100
2019-03-20,72.800003,72.930000,72.010002,72.059998,71.462090,3136200
2019-03-21,72.080002,72.739998,71.989998,72.260002,71.660439,2329200
2019-03-22,71.930000,72.470001,71.809998,71.900002,71.303421,3265900
2019-03-25,71.849998,72.410004,71.639999,72.309998,71.710014,1972400
2019-03-26,72.580002,73.360001,72.370003,73.339996,72.731468,2857200
2019-03-27,73.389999,73.790001,71.959999,72.239998,71.640594,4989700
2019-03-28,71.980003,72.250000,68.919998,69.150002,68.576233,5866500
2019-03-29,69.330002,69.489998,68.160004,69.099998,68.526649,5051900
2019-04-01,69.540001,70.040001,69.269997,69.970001,69.389435,3808300
2019-04-02,69.809998,70.160004,69.220001,69.730003,69.151428,3913300
2019-04-03,69.820000,70.019997,68.699997,69.000000,68.427483,3077500
2019-04-04,69.080002,70.129997,69.000000,70.050003,69.468773,3037100
2019-04-05,70.480003,70.750000,70.050003,70.349998,69.766281,3483100
2019-04-08,70.139999,71.239998,69.769997,71.230003,70.638977,4035400
2019-04-09,70.959999,71.660004,70.269997,71.419998,70.827400,2866800
2019-04-10,71.550003,72.330002,71.190002,72.160004,71.561264,2629900
2019-04-11,72.150002,73.010002,71.839996,73.000000,72.394295,2535700
2019-04-12,73.190002,73.879997,72.870003,73.709999,73.098404,2858700
2019-04-15,73.709999,73.860001,73.190002,73.790001,73.177742,2194500
2019-04-16,74.000000,74.269997,73.519997,74.099998,73.485168,2834500
2019-04-17,72.720001,74.309998,71.300003,72.459999,71.858772,7576000
2019-04-18,73.220001,73.779999,72.570000,73.750000,73.138069,2746800
2019-04-22,73.760002,73.860001,73.010002,73.720001,73.108315,1912400
2019-04-23,73.559998,74.000000,73.050003,73.750000,73.138069,2180400
2019-04-24,73.389999,73.870003,72.720001,73.330002,72.721558,2373500
2019-04-25,72.699997,73.580002,72.510002,72.709999,72.106697,3365800
2019-04-26,74.730003,74.730003,72.599998,72.919998,72.314949,3561900
2019-04-29,72.940002,73.820000,72.500000,73.599998,72.989311,2631300
2019-04-30,73.470001,73.739998,72.550003,72.989998,72.384377,3064900
2019-05-01,73.139999,74.110001,73.040001,73.580002,72.969482,2941100
